,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
210,8,10,17,13959,20,120,1,5061
211,0,0,0,96,1,2,1,5061
212,24,20,64,37003,15,339,1,5061
213,0,0,8,5031,5,45,1,5061
214,61,6,20,29693,17,190,1,5061
215,7,6,20,15363,20,87,0,5061
216,10,0,0,2590,3,25,1,5061
217,0,0,8,2841,6,35,1,5061
218,9,13,19,25421,14,302,0,5061
219,0,0,7,2046,4,21,1,5061
220,0,6,13,15394,17,108,1,5061
221,7,3,16,7103,9,89,0,5061
222,29,5,34,56834,27,381,1,5061
223,97,0,22,26910,16,155,1,5061
224,8,14,33,26180,18,271,1,5061
225,123,35,28,83345,28,475,1,5061
226,24,0,19,25049,5,206,1,5061
227,5,1,21,12917,10,98,0,5061
228,3,4,17,24649,21,152,1,5061
229,19,0,27,31384,10,242,1,5061
230,0,0,3,2335,7,24,1,5384
231,43,7,19,46468,22,283,0,5384
232,6,0,13,7093,5,54,1,5384
233,5,0,15,13140,12,75,1,5384
234,5,4,33,12595,11,97,0,5384
235,7,6,8,15123,7,106,1,5384
236,0,0,2,3037,9,43,1,5384
237,5,3,12,7050,10,60,1,5384
238,2,0,11,5345,10,43,1,5384
239,19,3,8,12973,10,63,1,5384
240,18,9,26,60811,35,532,0,5384
241,41,15,20,50390,22,472,0,5384
242,27,7,22,40463,22,325,0,5384
243,19,0,20,19640,9,214,1,5384
244,39,1,12,28842,23,327,0,5384
245,7,4,18,19114,19,156,1,5384
246,0,0,0,0,0,0,1,5384
247,2,7,12,14356,17,76,1,5384
248,0,0,2,4490,6,20,1,5384
249,31,8,26,42343,23,303,0,5384
250,10,5,17,16035,24,120,0,5384
251,35,15,29,52384,32,551,0,5384
252,34,8,21,15703,18,106,1,5384
253,0,0,5,13946,18,96,1,5384
254,27,47,57,81814,42,560,0,5384
255,56,22,27,54415,35,446,0,5384
256,92,28,24,63339,28,450,0,5384
257,5,7,22,24267,23,204,0,5384
258,4,5,20,17900,28,132,1,5384
259,18,21,35,59131,31,528,0,5384
260,12,10,28,35407,13,320,0,5384
261,7,2,17,13100,16,93,1,5384
262,3,8,19,23681,16,160,1,5384
263,0,0,13,9603,11,104,1,5384
264,4,9,29,26895,17,319,1,5384
265,2,2,14,22379,15,200,1,5384
266,19,1,11,14378,15,95,1,5384
267,2,4,12,8614,17,47,0,5384
268,0,0,0,0,0,0,1,5384
269,5,5,19,22321,19,175,0,5384
270,6,3,23,11236,11,93,1,5384
271,12,14,36,62625,20,393,0,5384
272,0,0,2,3045,7,26,1,5384
273,0,0,0,2148,2,32,1,5384
274,6,11,16,31587,33,221,0,5384
275,59,6,21,16344,13,151,1,5384
276,4,0,15,5531,5,81,1,5384
277,4,10,26,23850,25,207,1,5384
278,4,4,10,5993,8,61,1,5489
279,5,3,11,8045,10,73,0,5489
280,3,0,0,4318,8,37,1,5489
281,0,1,0,1451,2,11,1,5489
282,4,11,15,20699,19,173,0,5489
283,8,8,5,12141,18,61,1,5489
284,5,4,17,39456,26,262,0,5489
285,3,0,10,12666,13,87,1,5489
286,5,4,5,17322,16,143,0,5489
287,5,1,7,10383,19,76,0,5489
288,3,0,1,10343,6,65,1,5489
289,33,13,9,23799,18,202,1,5489
290,4,3,8,20938,15,125,0,5489
291,0,0,2,4298,4,56,1,5489
292,6,16,24,80411,33,536,0,5489
293,2,0,2,9935,9,60,1,5489
294,2,1,2,13434,18,57,1,5489
295,23,4,28,61345,27,581,1,5489
296,1,0,1,16132,17,90,1,5489
297,259,70,31,127805,42,978,0,5489
298,2,0,0,3929,4,32,1,5489
299,13,9,0,14900,12,85,1,5489
300,7,6,9,20822,12,116,0,5489
301,49,15,17,55951,29,416,0,5489
302,14,21,28,79692,28,631,1,5489
303,1,0,0,2720,4,18,1,5489
304,0,0,0,0,0,0,1,5489
305,9,0,1,16213,12,100,1,5489
306,0,0,6,11376,12,98,1,5489
307,4,4,6,16152,21,108,0,5489
308,0,0,0,3531,2,25,1,5489
309,0,0,4,3272,9,35,1,5489
310,2,1,2,13455,10,125,1,5489
311,8,10,13,56609,29,488,0,5489
312,0,0,1,2331,4,20,1,5489
313,0,0,0,2008,4,32,1,5489
314,0,0,0,0,0,0,1,5489
315,0,1,0,900,3,4,1,5489
316,8,3,5,12258,15,126,0,5489
317,4,0,7,12811,7,106,0,5489
318,0,0,0,1232,2,4,1,5489
319,0,0,0,0,0,0,1,5489
320,0,0,0,0,0,0,1,5489
321,15,26,10,72471,34,503,0,5490
322,0,0,0,0,0,0,1,5490
323,3,0,3,18812,18,441,1,5490
324,5,0,5,14184,8,122,1,5490
325,4,8,8,6759,10,44,1,5490
326,2,3,5,16103,15,111,1,5490
327,2,0,2,9009,7,52,1,5490
328,36,18,12,66533,33,510,0,5490
329,4,8,20,50765,21,266,0,5490
330,16,21,19,46684,20,307,0,5490
331,45,26,23,54774,28,514,0,5490
332,10,11,17,38490,22,237,0,5490
333,18,5,11,17754,16,107,0,5490
334,1,0,0,4380,3,17,1,5490
335,19,10,14,41791,28,283,0,5490
336,6,18,20,11033,16,102,0,5490
337,4,5,6,26874,13,153,0,5490
338,15,1,8,30770,14,155,1,5490
339,0,0,0,1770,3,15,1,5490
340,4,2,6,29045,26,202,1,5490
341,0,0,2,1654,3,27,1,5490
342,5,2,8,20096,21,173,1,5490
343,2,0,6,11474,10,81,1,5490
344,1,0,0,3167,5,36,1,5490
345,33,6,43,29028,16,210,1,5490
346,41,16,21,60657,29,368,0,5490
347,13,5,6,26755,17,173,0,5490
348,14,11,7,53702,30,367,0,5490
349,0,0,0,370,2,4,1,5490
350,61,18,17,42718,20,246,0,5490
351,4,3,6,15640,17,97,0,5490
352,45,2,16,42234,32,306,1,5490
353,9,4,13,29168,18,231,1,5490
354,6,9,8,23732,22,193,1,5490
355,5,3,8,9604,14,78,1,5490
356,33,12,7,30193,20,218,1,5490
357,14,3,18,14408,11,99,1,5490
358,7,8,13,36806,18,357,0,5490
359,0,0,0,18637,13,171,1,5490
360,0,1,0,2728,5,32,1,5490
361,0,1,10,7883,9,98,1,5799
362,4,6,7,8891,16,73,1,5799
363,32,7,13,19716,10,109,1,5799
364,6,6,9,14369,22,155,1,5799
365,6,6,6,5739,14,49,1,5799
366,0,3,8,12174,9,133,1,5799
367,30,3,8,31199,26,210,1,5799
368,2,5,2,5439,3,47,1,5799
369,6,14,12,17073,27,172,0,5799
370,0,1,0,11243,14,59,1,5799
371,17,8,12,51896,26,401,0,5799
372,11,2,6,8983,13,59,0,5799
373,6,2,8,29137,10,161,0,5799
374,6,3,12,7171,15,95,0,5799
375,39,14,7,19442,22,113,1,5799
376,0,2,3,13033,18,89,1,5799
377,49,1,4,22319,12,94,0,5799
378,1,6,1,17012,16,145,1,5799
379,5,3,9,11261,17,122,0,5799
380,4,0,3,3096,7,36,1,5799
381,4,3,7,13250,18,69,1,5799
382,2,2,4,18541,13,134,1,5799
383,2,4,5,21801,16,145,1,5799
384,2,0,6,2595,4,30,1,5799
385,8,6,8,18391,22,223,0,5799
386,10,12,13,20796,15,186,0,5799
387,40,8,21,52825,25,428,1,5799
388,2,0,3,6807,9,55,1,5799
389,27,5,9,28084,14,155,0,6030
390,6,0,18,5565,5,51,1,6030
391,2,0,4,3652,4,26,1,6030
392,24,3,34,27312,16,210,1,6030
393,0,1,4,3048,5,16,1,6030
394,2,8,26,10119,12,118,1,6030
395,0,0,0,49,1,2,1,6030
396,0,0,0,0,0,0,1,6030
397,15,14,13,20374,9,132,0,6030
398,13,4,22,20381,19,126,0,6030
399,4,0,13,35281,16,263,1,6030
400,4,2,0,10602,6,70,1,6030
401,10,4,12,9476,9,63,0,6030
402,24,3,29,24488,12,245,1,6030
403,61,24,31,68943,32,565,1,6030
404,3,0,1,6574,8,36,1,6030
405,1,3,10,19400,21,77,1,6030
406,6,0,0,4659,4,31,1,6030
407,5,8,17,36879,24,260,1,6030
408,92,13,23,79359,34,355,0,6030
409,0,0,1,3587,8,41,1,6030
410,28,23,22,56456,28,561,0,6030
411,54,51,30,54138,30,541,1,6030
412,26,17,19,47889,34,255,0,6030
413,11,8,18,11834,13,135,1,6030
414,19,4,24,46919,20,435,1,6030
415,12,1,21,30030,17,291,1,6030
416,2,7,12,25926,18,264,1,6030
417,2,3,14,24841,17,184,1,6030
418,6,0,3,9271,5,111,1,6030
419,6,18,13,46254,21,315,0,6400
420,5,0,7,16460,14,208,1,6400
421,13,13,11,75650,30,599,0,6400
422,1,0,5,8173,7,87,1,6400
423,7,1,6,9130,9,102,1,6400
424,0,0,0,0,0,0,1,6400
425,4,1,8,8577,14,61,1,6400
426,15,11,11,38138,23,257,1,6400
427,0,0,0,0,0,0,1,6400
428,0,4,1,7631,13,65,1,6400
429,0,0,0,0,0,0,1,6400
430,4,8,10,23693,25,190,1,6400
431,5,1,16,23655,20,293,1,6400
432,7,6,13,45509,37,350,1,6400
433,1,0,3,5731,8,84,1,6400
434,0,0,0,2568,5,20,1,6400
435,5,1,8,29933,17,231,0,6400
436,139,38,44,122302,42,868,0,6400
437,4,0,9,42442,24,273,1,6400
438,3,0,3,16535,9,105,1,6400
439,7,13,11,38843,33,334,0,6400
440,1,1,0,7315,13,48,1,6400
441,4,0,5,22290,15,97,1,6400
442,4,0,0,17322,5,145,1,6400
443,10,14,7,55382,32,442,1,6400
444,6,7,11,32080,26,268,1,6400
445,5,11,12,39392,37,331,0,6400
446,14,3,4,22088,12,212,1,6400
447,3,20,5,25752,22,240,1,6400
448,1,2,9,13761,19,120,1,6400
449,4,3,13,14348,20,115,0,6400
450,2,7,3,8386,13,119,1,6400
451,4,2,14,29630,20,238,0,6400
452,39,9,10,40550,31,223,1,6400
453,4,11,11,31150,31,154,1,6400
454,2,6,4,29364,24,124,1,6400
455,4,13,16,31297,35,198,0,6400
456,5,1,4,13648,15,98,1,6400
457,4,9,6,33661,30,200,0,6400
458,12,4,25,18596,16,167,0,6400
459,0,0,3,7430,9,89,1,6400
460,56,40,9,158924,40,1190,0,6400
461,6,38,33,103163,39,627,0,6400
462,12,0,13,9986,5,112,1,6400
463,0,0,2,1541,5,16,1,6400
464,0,0,0,341,2,4,1,6401
465,5,9,16,14650,15,153,1,6401
466,4,4,14,15500,20,120,0,6401
467,5,18,26,48100,31,406,0,6401
468,14,0,13,16231,14,64,0,6401
469,0,0,0,0,0,0,1,6401
470,0,0,10,12798,19,101,1,6401
471,26,11,39,48847,34,584,0,6401
472,5,21,47,35768,22,434,1,6401
473,0,0,0,0,0,0,1,6401
474,51,13,48,66860,35,466,1,6401
475,4,1,30,31808,22,373,1,6401
476,0,0,0,1304,3,15,1,6401
477,6,7,13,15570,19,151,1,6401
478,7,18,28,21883,21,207,1,6401
479,22,9,17,19466,19,196,0,6401
480,4,9,26,25350,20,225,0,6401
481,52,21,57,79209,40,521,0,6401
482,4,0,21,21492,17,225,1,6401
483,5,4,16,36389,21,351,0,6401
484,8,2,15,7335,8,64,0,6401
485,70,43,56,85566,33,654,0,6401
486,0,5,23,19038,17,282,1,6401
487,0,0,0,0,0,0,1,6401
488,121,105,48,289202,45,2606,0,6401
489,26,28,31,86374,38,770,0,6401
490,11,32,29,63596,36,586,1,6401
491,3,1,4,8268,8,62,1,6401
492,4,8,19,50058,27,377,1,6401
493,39,11,16,55260,23,416,1,6401
494,139,23,35,119274,41,884,0,6401
495,59,20,50,56860,34,343,0,6401
496,6,12,28,68308,32,436,1,6401
497,0,0,1,3305,4,31,1,6401
498,33,11,34,42077,15,275,1,6401
499,5,10,23,21126,21,197,0,6401
500,0,0,2,1892,4,31,1,6401
501,29,24,15,67349,37,730,0,6401
502,11,4,16,17523,22,127,0,6401
503,20,5,16,40995,26,258,1,6401
504,0,0,0,0,0,0,1,6401
505,2,14,39,29316,18,314,1,6401
506,4,0,16,14242,11,146,1,6401
507,0,3,19,13451,13,115,1,6401
508,7,32,53,59668,23,599,0,6401
509,4,23,45,42120,26,389,1,6401
510,0,0,0,0,0,0,1,6402
511,2,6,9,24146,13,150,0,6402
512,0,0,0,600,3,3,1,6402
513,50,9,15,19586,25,107,0,6402
514,10,3,14,44003,15,214,0,6402
515,15,0,9,3756,3,35,1,6402
516,0,0,0,0,0,0,1,6402
517,8,2,13,24601,22,203,1,6402
518,3,0,4,11996,13,80,1,6402
519,0,0,0,4663,4,37,1,6402
520,4,5,11,30961,18,225,0,6402
521,18,0,3,8252,8,44,1,6402
522,5,0,13,45021,17,258,1,6402
523,7,4,12,31013,22,221,1,6402
524,0,0,0,0,0,0,1,6402
525,44,7,17,35733,19,281,0,6402
526,0,0,5,8174,5,106,1,6402
527,5,14,8,25171,14,190,0,6402
528,4,2,14,19723,23,131,0,6402
529,74,4,4,40688,22,261,1,6402
530,0,1,1,4020,4,22,1,6402
531,6,1,5,34729,14,224,1,6402
532,87,14,12,35420,23,267,1,6402
533,13,8,16,44738,19,380,1,6402
534,22,20,19,56713,25,556,0,6402
535,131,7,14,58879,29,458,1,6402
536,4,3,0,11307,15,96,1,6402
537,1,0,0,856,1,18,1,6402
538,2,1,12,5311,10,49,1,6402
539,0,0,1,20464,5,159,1,6402
540,6,16,11,25481,15,191,0,6402
541,4,0,12,23147,17,200,1,6402
542,0,0,2,2459,3,30,1,6402
543,0,6,6,6953,7,68,1,6590
544,10,7,18,16368,22,164,0,6590
545,5,2,11,8836,12,70,1,6590
546,1,1,2,4715,8,47,1,6590
547,52,12,20,32526,24,257,0,6590
548,0,1,0,624,3,4,1,6590
549,5,0,9,24685,14,151,1,6590
550,4,1,5,7870,5,49,1,6590
551,9,3,29,35641,27,229,0,6590
552,30,44,16,51852,37,372,0,6590
553,23,5,17,23892,19,189,0,6590
554,6,8,9,21449,19,127,0,6590
555,10,9,22,22502,17,183,1,6590
556,21,3,12,23211,17,173,0,6590
557,4,10,5,32831,23,183,0,6590
558,75,25,15,73116,39,397,0,6590
559,0,1,1,5597,10,46,1,6590
560,28,5,27,45487,30,350,0,6590
561,0,0,0,680,3,7,1,6590
562,15,13,13,60986,35,561,0,6590
563,3,0,13,33673,10,230,1,6590
564,4,9,10,17883,14,147,0,6590
565,17,1,14,35148,25,400,1,6590
566,6,1,15,15711,12,126,0,6590
567,22,9,13,61418,41,446,0,6590
568,17,14,12,59701,40,446,0,6590
569,14,18,8,23788,15,262,1,6590
570,5,24,10,39635,36,261,0,6590
571,4,2,12,21269,12,182,1,6590
572,0,2,10,16423,15,114,1,6590
573,12,5,11,34009,27,237,0,6590
574,16,7,21,40360,18,282,1,6590
575,15,9,26,33374,24,213,0,6590
576,11,25,21,33801,24,258,0,6590
577,11,2,4,6490,7,40,1,6590
578,1,1,5,12782,11,97,1,6590
579,4,5,28,15169,19,145,1,6590
580,26,5,12,25030,21,147,1,6590
581,34,10,11,42385,21,351,1,6590
582,2,2,8,4147,4,31,0,6895
583,4,4,5,15330,18,94,1,6895
584,0,0,0,5035,10,29,1,6895
585,7,14,5,12604,15,119,1,6895
586,5,7,10,7544,11,118,1,6895
587,14,0,13,15532,8,228,1,6895
588,7,0,1,13011,12,82,1,6895
589,4,6,16,22232,23,211,0,6895
590,6,11,14,14363,13,111,1,6895
591,15,1,8,13253,6,115,0,6895
592,3,10,0,27439,30,175,1,6895
593,8,6,16,21149,24,136,1,6895
594,4,10,7,12483,21,97,1,6895
595,6,2,3,15951,14,68,1,6895
596,0,2,2,6358,5,82,1,6895
597,0,0,4,8405,12,88,1,6895
598,6,4,6,28150,19,162,0,6895
599,0,5,1,5479,10,35,1,6895
600,4,3,7,15377,8,99,1,6895
601,2,2,8,4587,9,35,1,6895
602,4,0,12,23054,7,157,1,6895
603,2,1,5,11680,7,61,1,6895
604,19,2,5,15568,11,200,1,6895
605,27,2,18,38247,25,220,1,6895
606,7,5,8,23871,13,147,0,6895
607,0,0,0,2489,5,33,1,6895
608,27,9,5,33213,18,207,0,6895
609,12,7,9,12908,15,124,1,6895
610,6,2,12,15993,15,97,1,6895
611,31,9,17,40378,23,230,1,6895
612,0,0,2,2476,6,33,1,6895
613,8,6,13,11363,10,88,0,6895
614,6,1,10,8015,9,67,1,6895
615,5,1,6,13619,9,71,1,7114
616,2,0,5,5069,5,43,1,7114
617,8,15,19,26040,16,306,1,7114
618,3,10,25,15624,25,143,1,7114
619,0,0,2,9878,7,79,1,7114
620,7,4,11,9627,14,95,1,7114
621,4,3,15,16852,11,108,1,7114
622,4,14,50,43291,27,313,1,7114
623,99,10,23,30383,20,174,0,7114
624,3,0,15,7741,11,81,1,7114
625,0,1,1,4422,10,33,1,7114
626,8,8,19,14480,12,153,0,7114
627,8,19,11,19960,16,190,1,7114
628,0,0,0,0,0,0,1,7114
629,0,0,0,0,0,0,1,7114
630,10,10,30,25008,15,209,1,7114
631,12,8,16,26864,16,233,1,7114
632,1,4,2,9739,8,61,1,7114
633,52,3,26,61307,26,407,0,7114
634,4,2,14,25720,16,194,0,7114
635,27,10,18,25609,15,129,0,7114
636,4,8,18,13917,16,79,1,7114
637,54,12,23,55001,25,319,0,7114
638,15,7,22,22839,27,238,0,7114
639,6,8,10,44774,20,233,0,7114
640,0,0,4,2680,5,25,1,7114
641,6,5,11,9828,13,69,1,7114
642,41,3,24,25569,14,264,1,7114
643,6,10,20,24758,23,183,1,7114
644,25,39,41,71113,35,553,0,7114
645,25,12,17,39708,23,214,0,7114
646,11,0,10,14727,10,95,1,7114
647,25,12,20,35182,29,249,1,7114
648,21,11,12,43612,22,582,0,7114
649,9,1,13,16097,13,176,1,7114
650,4,3,19,17184,17,130,1,7297
651,7,13,19,15763,19,194,0,7297
652,12,5,38,27510,25,300,1,7297
653,0,0,0,1009,2,6,1,7297
654,6,2,8,8425,8,76,1,7297
655,0,0,0,0,1,1,1,7297
656,0,0,0,0,0,0,1,7297
657,11,10,17,20749,19,132,1,7297
658,0,0,1,300,2,2,1,7297
659,54,11,7,31476,22,241,0,7297
660,5,8,7,21697,25,126,0,7297
661,4,4,14,11690,16,140,0,7297
662,0,0,0,0,0,0,1,7297
663,0,0,1,4018,4,38,1,7297
664,4,4,9,16623,14,122,1,7297
665,6,5,11,13961,12,99,0,7297
666,4,3,13,8654,17,61,0,7297
667,22,5,11,43943,25,291,0,7297
668,0,0,0,300,2,2,1,7297
669,4,5,12,14750,11,135,0,7297
670,10,4,24,19847,18,189,0,7297
671,1,0,0,981,2,16,1,7297
672,0,0,0,747,2,5,1,7297
673,0,0,0,2615,3,14,1,7297
674,4,0,10,13715,17,112,1,7297
675,4,10,8,18371,16,111,1,7297
676,6,6,1,10585,11,54,1,7297
677,7,1,42,17842,12,141,0,7297
678,0,0,0,0,0,0,1,7297
679,0,0,0,0,0,0,1,7297
680,8,5,11,22961,22,134,0,7297
681,0,0,0,0,0,0,1,7297
682,0,0,0,0,0,0,1,7297
683,0,5,7,9380,8,59,1,7297
684,32,4,33,40811,25,329,1,7297
685,5,2,16,19984,12,155,0,7297
686,75,22,9,60384,23,344,0,7297
687,3,8,10,28196,19,134,1,7411
688,8,23,11,48996,23,414,0,7411
689,2,15,10,32594,26,296,1,7411
690,11,36,50,91618,32,1316,1,7411
