,Turno_TempoUsoTotal_Somado,Login_Quantidade,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Log_View_Quantidade_Somado,Numero_Dias_Acessados_Modulo_Somado,Evadido,CodigoTurma
46,27614,3,71,2057,197,14,1,4604
47,0,0,0,0,0,0,1,4604
48,772,0,0,0,12,2,1,4605
49,6594,1,15,1144,59,9,1,4605
50,16726,7,60,4218,122,14,0,4605
51,13555,1,29,1061,94,19,1,4605
52,30351,4,224,10942,151,17,0,4605
53,8065,0,1,0,41,3,1,4605
54,4507,0,18,0,18,2,1,4605
55,26463,13,101,6619,282,19,1,4605
56,44631,13,27,2848,310,35,0,4605
57,4600,6,9,940,47,5,1,4605
58,31925,7,42,4512,213,20,1,4605
59,28181,5,13,1286,264,23,1,4605
60,0,0,0,0,0,0,1,4605
61,22285,0,68,3276,128,7,0,4605
62,27919,6,31,645,201,17,0,4605
63,25728,7,31,2088,231,19,0,4605
64,37758,10,15,1314,306,30,0,4605
65,16856,1,21,3008,82,8,0,4605
66,53090,6,128,4395,334,20,0,4605
67,3551,0,7,1390,24,5,1,4605
68,0,0,0,0,0,0,1,4605
69,62356,21,61,14659,362,34,1,4605
70,21235,7,27,2301,164,13,0,4605
71,79212,28,193,4758,496,29,0,4605
72,27954,10,36,2567,270,15,0,4605
73,31985,6,90,2286,397,29,0,4605
74,57489,11,45,5382,436,36,1,4605
75,45808,9,71,9168,234,24,0,4605
76,35284,5,17,3391,260,20,0,4605
77,59915,19,56,8140,383,28,0,4605
78,32325,6,39,6055,145,17,1,4605
79,12438,5,2,1453,107,15,1,4605
80,11145,4,12,617,135,11,0,4604
81,26502,14,15,2102,212,20,0,4604
82,60843,18,34,6442,575,32,0,4604
83,17273,8,29,1528,184,10,1,4604
84,3959,0,2,0,32,6,1,4604
85,14865,1,10,428,142,9,1,4604
86,41446,6,94,10772,187,19,0,4604
87,64859,20,106,4790,445,30,0,4604
88,72796,20,151,10941,751,38,0,4605
89,0,0,0,0,0,0,1,4605
90,14482,8,16,895,157,11,0,4604
91,9089,2,10,213,83,12,1,4604
92,20308,4,17,1748,139,18,1,4604
93,44662,10,65,1614,302,24,0,4604
94,14359,5,24,400,141,16,1,4605
95,0,0,0,0,0,0,1,4605
96,11384,0,12,416,145,9,0,4604
97,38738,3,63,5720,201,21,0,4604
98,0,0,0,0,1,1,1,4604
99,77944,11,109,10410,555,33,1,4604
100,453,0,0,0,12,2,1,4604
101,48491,10,72,2283,423,30,1,4604
102,5067,0,0,0,67,4,1,4604
103,15670,3,103,6995,93,12,0,4604
104,35188,15,61,1043,254,30,0,4605
105,0,0,0,0,0,0,1,4605
106,24595,3,65,1956,261,16,0,4604
107,6081,3,25,635,30,7,1,4604
108,31493,11,62,3863,198,27,0,4604
109,359,0,0,0,5,1,1,4605
110,0,0,0,0,0,0,1,4605
111,13700,4,20,1863,116,14,1,4605
112,45444,13,23,2776,336,31,0,4605
113,28627,11,35,5214,251,25,1,4605
114,112192,31,215,8123,793,39,0,4605
115,19550,5,27,2826,150,14,0,4604
116,53457,4,62,3878,450,28,0,4605
117,28385,13,4,400,205,26,1,4605
118,24429,4,62,1406,132,15,1,4605
119,15648,0,6,44,192,10,1,4605
120,40495,6,57,10210,212,22,0,4605
121,15933,2,46,2735,84,9,1,4605
122,6481,0,17,863,40,8,0,4605
123,20529,4,67,2592,207,20,0,4605
124,5535,4,9,1697,59,8,0,4605
125,68651,25,39,5505,621,38,0,4605
126,24185,10,16,4258,158,20,1,4605
127,90059,5,252,21028,466,31,0,4605
128,4853,0,2,0,36,3,1,4604
129,26761,4,31,1908,207,17,0,4604
130,25705,16,34,2560,229,25,0,4604
131,1420,0,0,3,36,2,1,4604
132,27786,4,63,5755,154,18,0,4604
133,1531,0,0,0,18,5,1,4604
134,18664,5,31,3388,142,18,0,4604
135,16179,7,31,1179,142,17,0,4604
136,2925,0,2,0,25,2,1,4130
137,23968,5,24,2283,184,20,0,4130
138,1325,3,0,0,9,4,0,4130
139,29290,11,56,3498,180,20,0,4130
140,17672,1,20,1522,158,15,0,4130
141,51319,19,77,4121,387,23,0,4130
142,33219,9,99,2314,316,19,1,4130
143,21727,3,20,3106,206,19,0,4130
144,53644,16,85,10925,304,29,0,4130
145,97351,27,87,2337,793,36,0,4130
146,6377,3,0,932,30,7,0,4130
147,13671,1,10,19,142,15,0,4130
148,9340,7,11,1461,77,8,1,4130
149,93410,26,114,8619,889,35,0,4130
150,21141,2,29,2098,151,18,1,4130
151,38161,8,31,56,233,12,0,4130
152,20040,0,2,0,121,19,1,4130
153,31237,14,15,2060,234,25,0,4604
154,3725,1,3,0,34,5,0,4604
155,0,0,0,0,1,1,1,4604
156,25197,6,68,8610,292,27,0,4604
157,14662,3,38,3828,130,11,0,4604
158,11552,1,9,43,171,8,1,4604
159,2953,0,6,0,30,4,1,4604
160,2369,0,1,0,28,2,1,4604
161,0,0,0,0,0,0,1,4604
162,45409,7,44,2950,250,28,0,4604
163,47248,15,75,5977,336,33,0,4604
164,14588,3,60,2092,83,9,0,4604
165,60980,17,50,5136,437,38,0,4604
166,51865,14,58,3419,308,28,0,4604
167,19550,7,16,1867,210,17,0,4604
168,44969,3,28,1221,252,19,1,4604
169,29700,16,28,3568,247,22,0,4604
170,26815,3,5,18,218,19,1,4604
171,2180,0,0,0,13,4,1,4604
172,15205,1,8,373,150,17,1,4604
173,17357,1,40,471,144,17,1,4604
174,18506,6,35,3219,161,22,0,4604
175,18666,4,23,64,163,16,1,4130
176,34752,15,58,4490,248,25,0,4130
177,50822,22,41,4116,428,26,0,4130
178,0,0,0,0,1,1,1,4130
179,16094,11,115,5449,118,11,1,4130
180,0,0,0,0,0,0,1,4130
181,48993,9,24,4014,231,18,0,4130
182,656,0,5,0,3,1,1,4130
183,19428,6,36,3388,149,19,0,4130
184,15066,5,45,3783,142,10,1,4130
185,25489,15,23,1464,232,23,0,4130
186,23026,3,33,3455,181,15,0,4130
187,9928,5,12,1226,47,11,1,4130
188,31473,8,35,2985,347,19,0,4130
189,34882,13,49,7014,219,20,0,4130
190,10527,0,35,927,75,7,1,4130
191,13045,0,54,1174,173,13,1,4130
192,24611,4,39,2222,118,19,1,4130
193,13769,2,38,1447,84,14,1,4130
194,78154,35,28,4304,541,32,0,4130
195,63702,5,55,4257,252,28,0,4130
196,24895,17,80,3176,239,19,0,4130
197,45664,11,52,3688,331,20,0,4130
198,43134,21,85,5994,338,24,0,4130
199,45223,30,63,862,522,28,0,4130
200,21011,0,34,911,115,11,1,4130
201,23150,4,14,1745,137,13,0,4130
202,12945,7,21,2661,76,7,0,4130
203,0,0,0,0,0,0,1,4130
204,15979,0,7,95,183,4,1,4130
205,28169,16,40,1436,212,22,0,4130
206,15038,6,31,2432,170,12,0,4130
207,47161,40,24,2734,395,26,0,4130
208,7231,0,15,726,66,13,1,4130
209,33518,12,53,2865,201,23,0,4130
210,34031,11,3,177,308,22,1,4130
211,35741,8,34,5425,178,18,0,4130
212,0,0,0,0,0,0,1,4130
213,13189,3,6,398,71,14,1,4130
214,22292,4,14,2238,131,22,0,4130
215,34889,22,35,2548,382,30,0,4130
216,40509,8,102,7955,307,27,0,4130
217,0,0,0,0,1,1,1,4130
218,17089,1,35,1042,73,10,0,4130
219,46670,8,56,6800,262,24,0,4130
220,21270,1,3,1075,179,13,1,4130
221,3285,0,0,0,19,4,1,4130
222,40823,8,34,1618,217,25,0,4130
223,81133,65,84,9171,768,34,0,4130
224,12402,2,10,1304,91,11,1,4130
225,19366,12,16,2640,118,20,0,4130
226,1265,0,0,300,17,2,1,5388
227,25768,7,27,600,202,20,1,5388
228,34840,6,28,1411,339,26,0,5388
229,58423,20,17,1665,446,38,0,5388
230,16647,3,26,338,128,15,0,5388
231,11818,2,6,954,95,8,0,5388
232,26143,11,56,300,166,21,0,5388
233,32967,7,20,1570,215,22,0,5388
234,43573,11,40,2780,272,34,0,5388
235,25963,1,21,405,183,18,1,5388
236,17904,2,20,1006,96,18,0,5388
237,31619,14,33,3544,321,22,1,5388
238,30325,12,29,2175,228,28,0,5388
239,60616,26,121,16437,403,28,0,5388
240,17878,6,38,2462,138,16,1,5388
241,75059,39,185,8642,590,35,0,5388
242,675,0,0,0,11,2,1,5388
243,17986,4,24,1542,110,21,1,5388
244,73,0,0,0,5,1,1,5388
245,22877,14,61,1563,247,16,0,5388
246,11817,7,10,1247,128,9,1,5388
247,10420,2,13,2022,79,11,0,5388
248,40159,8,52,4073,262,24,1,5388
249,51238,25,28,1808,376,35,0,5388
250,91483,36,140,3111,635,40,0,5388
251,26704,7,62,2844,204,15,1,5388
252,10417,0,3,12,66,11,0,5388
253,21375,10,23,2133,190,19,1,5388
254,29159,5,1,287,202,30,1,5388
255,41805,9,54,3574,269,29,0,5388
256,71387,36,63,4146,553,37,0,5388
257,34315,8,42,60,240,28,0,5388
258,50470,13,51,2840,422,29,0,5388
259,40692,6,25,4776,326,25,1,5388
260,19410,2,20,2508,165,14,1,5388
261,24955,8,27,1317,157,17,1,5388
262,1334,0,0,0,10,1,1,5388
263,33017,6,38,985,256,17,0,5388
264,21263,9,35,879,164,18,0,5388
265,28399,14,77,3074,261,16,0,5388
266,58504,16,72,4840,647,21,0,5388
267,1539,0,3,0,8,3,1,5388
268,38117,15,45,2830,306,31,0,5388
269,12897,0,3,19,89,10,1,5388
270,21414,5,40,1705,193,23,0,5388
271,300,0,0,0,1,1,1,5388
272,3731,2,7,1641,24,5,0,5388
273,52507,12,102,1464,534,34,0,5388
274,17547,7,10,3015,215,13,1,5388
275,1111,0,0,0,33,2,1,5468
276,0,0,0,0,0,0,1,5468
277,34734,18,11,264,403,26,1,5468
278,34162,23,33,1404,165,21,0,5468
279,26216,7,46,0,196,27,0,5468
280,1210,0,0,0,6,3,1,5468
281,1837,0,1,0,23,5,1,5468
282,50280,24,69,5583,475,30,0,5468
283,9781,3,7,12,92,15,1,5468
284,24831,14,42,1904,177,17,1,5468
285,33392,8,12,1567,277,32,1,5468
286,19162,0,15,1045,180,13,1,5468
287,16400,1,11,0,142,14,0,5468
288,79708,19,70,5466,697,28,0,5468
289,36596,12,60,3445,339,27,0,5468
290,6679,0,2,0,56,12,1,5468
291,31971,10,49,4406,226,28,1,5468
292,4049,3,6,0,31,4,1,5468
293,13491,2,5,1083,153,11,0,5468
294,18707,3,35,1750,149,15,0,5468
295,17223,7,42,3507,171,15,1,5468
296,17922,8,25,2922,110,17,0,5468
297,10429,8,5,16,95,16,0,5468
298,28862,8,47,3188,177,19,0,5468
299,13825,0,9,2019,97,16,1,5468
300,32389,11,39,1955,305,18,0,5468
301,14385,0,5,14,103,8,1,5468
302,75339,25,75,2855,617,39,0,5468
303,33714,25,82,2403,440,19,0,5468
304,42300,4,77,3520,260,27,0,5468
305,15990,7,23,3241,129,12,1,5468
306,30724,9,39,2620,211,25,0,5468
307,8758,1,3,0,47,5,1,5468
308,8987,0,3,0,119,10,1,5468
309,27822,2,49,4724,197,18,0,5468
310,37842,16,18,1348,295,20,0,5468
311,10456,3,9,396,132,16,1,5468
312,17445,4,27,1856,153,17,1,5468
313,8854,3,4,10,86,15,1,5468
314,24544,14,10,653,182,24,1,5468
315,44428,15,50,2593,318,30,0,5468
316,3239,0,0,0,35,5,1,5468
317,33247,3,79,7749,174,16,1,5468
318,62195,37,50,4283,510,38,0,5468
319,32613,7,78,4728,189,17,0,5468
320,73596,37,46,6383,721,43,0,5468
321,21756,2,15,2549,120,18,0,5468
322,36857,10,54,1810,281,18,0,5468
323,28749,14,55,1851,248,29,0,5468
324,13195,4,13,1517,107,18,0,5468
325,6663,1,29,1670,42,8,1,5468
326,8347,1,0,0,33,16,1,5468
327,36435,6,43,3064,303,18,0,5468
328,9502,8,0,0,88,13,1,5468
329,5023,0,3,300,73,7,0,5468
330,7278,2,2,0,57,11,1,5468
331,53407,10,63,3445,341,29,0,5468
332,15907,1,49,1784,123,14,0,5468
333,116757,68,104,7451,849,39,0,5468
334,11524,0,15,0,73,10,1,5468
335,27276,3,24,1766,211,18,0,5468
336,16297,1,21,3599,176,8,1,5468
337,24613,3,27,3897,148,12,1,5468
338,13199,2,2,904,187,16,1,5468
339,27272,10,30,2225,376,32,1,5468
340,14124,1,33,504,110,13,0,5468
341,37302,18,54,5263,235,20,0,5468
342,14581,3,10,1732,110,11,1,5468
343,13675,0,3,0,163,6,1,5468
344,21614,6,20,1986,157,14,0,5469
345,6185,0,21,1576,64,4,1,5469
346,0,0,0,0,0,0,1,5469
347,853,0,0,0,8,3,1,5469
348,21496,0,18,5001,144,14,0,5469
349,16601,6,59,2440,166,17,0,5469
350,10980,4,32,2771,81,18,0,5469
351,35731,28,15,300,238,33,0,5469
352,30713,6,21,2653,184,21,0,5469
353,0,0,0,0,0,0,1,5469
354,1876,0,0,0,13,2,1,5469
355,13405,7,18,1530,94,19,1,5469
356,8363,2,10,0,54,6,0,5469
357,22348,6,17,1565,177,22,0,5469
358,10375,4,27,1738,99,10,0,5469
359,44673,7,17,2130,229,29,0,5469
360,6421,0,5,936,51,11,0,5469
361,7763,2,1,0,46,14,1,5469
362,36471,6,26,1702,253,25,0,5469
363,35431,2,21,1388,231,16,1,5469
364,19832,12,14,1633,114,18,0,5469
365,12118,6,43,1431,110,15,0,5469
366,44605,25,48,1513,399,26,0,5469
367,41843,14,24,2824,378,23,0,5469
368,9985,0,0,48,90,7,1,5469
369,41999,1,20,3842,307,26,1,5469
370,7954,1,2,0,65,9,1,5469
371,33015,13,33,3244,187,18,0,5469
372,23780,25,30,1611,283,19,0,5469
373,19396,2,19,657,164,19,1,5469
374,43701,5,43,2750,359,28,0,5469
375,17474,1,25,2569,108,14,0,5469
376,30667,16,42,1485,207,16,0,5469
377,21009,1,11,2846,201,12,1,5469
378,7386,1,1,0,51,10,1,5469
379,50367,24,32,3209,378,27,1,5469
380,15519,4,27,4020,88,12,0,5469
381,12405,2,36,2664,91,8,1,5469
382,45911,4,28,2553,319,26,0,5469
383,25131,6,46,2846,162,29,1,5469
384,10736,0,2,0,77,17,1,5469
385,8629,0,20,919,75,6,1,5469
386,11860,1,6,15,62,16,1,5469
387,72840,16,101,5702,395,31,0,5469
388,4689,0,1,0,59,4,1,5469
389,26188,0,33,1519,142,15,1,5469
390,7124,0,4,0,72,7,1,5469
391,11534,0,4,0,46,13,1,5469
392,53356,12,44,1914,413,27,0,5469
393,63686,16,44,4583,349,32,0,5469
394,48177,16,47,2120,425,28,0,5469
395,3926,0,0,0,19,3,1,5469
396,29023,9,26,1776,209,26,0,5469
397,1353,0,0,0,15,4,1,5469
398,58343,10,76,5737,468,27,0,5469
399,0,0,0,0,0,0,1,5469
400,2554,0,0,0,22,7,1,5469
401,11259,0,15,1051,109,11,1,5469
402,0,0,0,0,0,0,1,5469
403,5372,0,10,355,46,5,1,5469
404,356,0,0,0,2,1,1,5469
405,28851,4,23,1746,297,27,0,5469
406,9816,4,25,1846,42,9,1,5469
407,2089,0,0,0,7,4,1,5469
408,0,0,0,0,0,0,1,5469
409,51033,7,17,1761,385,24,1,5469
410,29465,1,29,3541,246,12,1,5469
411,14798,2,2,432,136,13,1,5714
412,11653,1,4,71,142,18,0,5714
413,11811,1,44,3548,73,8,1,5714
414,57270,13,160,13031,269,20,0,5714
415,27150,9,4,0,173,21,0,5714
416,4404,4,2,0,41,7,1,5714
417,9275,10,34,3821,105,11,1,5714
418,12188,4,10,382,106,7,0,5714
419,32086,12,118,7407,179,15,0,5714
420,9560,0,1,0,58,6,0,5714
421,12073,6,11,1102,107,18,1,5714
422,32220,23,37,5240,175,18,1,5714
423,45465,32,42,2098,511,20,0,5714
424,11353,6,11,300,138,14,1,5714
425,17126,4,24,1105,89,16,0,5714
426,37284,25,107,12901,162,22,0,5714
427,0,0,0,0,0,0,1,5714
428,10718,2,4,89,57,14,1,5714
429,20568,4,34,5149,175,23,0,5714
430,2310,1,0,0,10,4,1,5714
431,18036,41,23,1880,307,13,0,5714
432,70407,50,210,11943,517,40,0,5714
433,405,0,0,0,8,2,1,5714
434,19370,6,17,382,80,15,0,5714
435,0,0,0,0,0,0,1,5714
436,17275,0,7,0,135,11,1,5714
437,13317,5,39,3954,56,11,1,5714
438,16077,1,0,151,159,14,1,5714
439,6687,1,1,300,34,7,1,5714
440,153,0,0,0,2,1,1,5714
441,6168,5,5,0,34,10,1,5714
442,34126,18,39,2655,233,31,0,5714
443,8675,1,3,16,84,6,1,5714
444,12256,11,3,527,146,17,0,5714
445,26821,11,127,5794,129,22,0,5714
446,71719,66,164,6468,621,33,0,5714
447,35108,18,62,8740,286,21,0,5714
448,7616,6,19,1938,59,12,1,5714
449,19716,21,84,3329,190,12,1,5714
450,31070,17,54,2400,285,19,1,5714
451,2529,0,0,0,17,4,1,5714
452,52231,16,75,1639,383,17,0,5714
453,20722,13,24,1575,180,26,1,5714
454,3221,4,2,37,50,6,1,5714
455,22075,19,27,3535,130,17,1,5714
456,5283,2,15,429,43,9,0,5714
457,28262,10,30,7208,213,22,0,5714
458,18195,5,5,220,148,17,1,5714
459,0,0,0,0,0,0,1,5714
460,15547,3,28,1843,74,11,1,5714
461,11351,5,4,867,85,10,0,5714
462,28118,3,88,336,108,14,1,5714
463,15959,7,61,5097,80,15,0,5714
464,0,0,0,0,0,0,1,5714
465,16061,7,16,3982,94,17,0,5714
466,26162,13,40,2055,274,16,0,5714
467,43448,24,51,8224,241,18,0,5714
468,14618,13,10,1509,107,11,1,5714
469,2299,0,0,0,26,4,1,5714
470,0,0,0,0,0,0,1,5714
471,37648,13,90,13281,182,21,1,5714
472,8846,5,0,106,81,13,1,6388
473,7449,4,1,0,49,8,1,6388
474,37851,14,34,6361,299,20,0,6388
475,10125,5,12,0,86,15,0,6388
476,39225,9,38,3750,283,22,0,6388
477,26663,3,3,345,194,11,1,6388
478,0,0,0,0,0,0,1,6388
479,17919,6,26,1711,138,23,0,6388
480,4147,0,1,14,40,7,1,6388
481,8444,4,6,426,42,9,1,6388
482,12328,23,9,1358,96,20,0,6388
483,967,0,0,0,9,4,1,6388
484,9906,2,4,0,55,9,1,6388
485,65530,25,196,21548,246,35,0,6388
486,11885,2,8,14,156,10,1,6388
487,20804,7,70,10050,114,15,0,6388
488,20387,14,105,4570,134,14,1,6388
489,19424,6,41,3662,168,21,0,6388
490,16669,15,43,2587,159,20,1,6388
491,23636,8,49,5571,114,13,0,6388
492,19907,0,46,4633,165,14,0,6388
493,81523,16,219,32773,362,29,0,6388
494,53983,38,31,2898,346,37,0,6388
495,37073,15,49,4973,256,24,0,6388
496,25614,10,94,7858,127,21,0,6388
497,17737,3,75,5082,90,9,0,6388
498,34282,13,20,2361,299,24,0,6388
499,3167,0,0,0,16,5,1,6388
500,16330,12,5,437,137,17,0,6388
501,30954,21,64,1187,282,22,0,6388
502,6931,0,70,3963,43,6,1,6388
503,23944,12,36,8398,116,24,0,6388
504,12966,10,9,16,61,8,0,6388
505,30465,12,38,5077,192,21,0,6388
506,8804,4,21,2860,36,8,1,6388
507,38605,20,65,5182,341,26,0,6388
508,39473,17,38,2832,313,31,0,6388
509,45107,13,49,4588,355,32,0,6388
510,10813,6,34,861,112,12,1,6388
511,426,0,0,0,5,2,1,6388
512,11241,4,18,1286,93,16,0,6388
513,27624,5,21,2324,162,20,0,6388
514,40020,14,73,3778,241,24,0,6388
515,946,0,0,0,8,3,1,6388
516,22811,11,26,4751,146,20,1,6388
517,0,0,0,0,0,0,1,6388
518,17794,6,13,20,127,13,1,6388
519,56487,25,80,11290,297,24,0,6388
520,7010,1,1,0,43,10,1,6388
521,17320,3,31,2424,85,18,0,6388
522,21366,8,4,443,174,18,0,6388
523,0,0,0,0,0,0,1,6388
524,5078,0,6,0,50,1,1,6388
525,19226,2,10,250,110,15,1,6388
526,42266,12,53,5701,377,28,0,6388
527,40610,20,92,13013,203,30,0,6388
528,54964,12,88,7339,422,30,0,6388
529,7107,3,28,2070,35,11,0,6388
530,101341,53,116,5768,848,38,0,6388
531,65732,19,239,18824,515,27,0,6388
532,15758,4,103,9783,63,9,1,6388
533,37032,15,98,11823,260,29,1,6388
534,29137,9,53,4513,233,24,0,6388
535,22056,6,32,2471,142,18,1,6388
536,21542,14,13,1128,231,18,0,6388
537,41951,11,86,11786,233,18,0,6388
538,75134,26,143,15728,572,35,0,6388
539,7303,4,20,597,24,5,1,6388
540,14647,2,5,93,108,13,1,6388
541,1214,0,0,0,7,3,1,6388
542,29758,16,29,2202,237,17,0,6388
543,7814,2,4,300,48,11,1,6388
544,59345,21,101,12951,313,24,0,6388
545,34022,7,23,2770,174,24,0,6388
546,15685,6,43,2831,99,20,1,6388
547,30893,5,91,14456,87,9,1,6388
548,13699,5,30,3825,57,11,0,6388
549,23781,1,10,374,157,20,1,6388
550,28028,12,176,15071,95,15,0,6388
551,57233,24,233,26022,303,20,0,6388
552,7707,0,8,0,72,4,1,6388
553,4738,6,0,0,40,4,1,6388
554,28383,12,38,2065,166,25,0,6388
555,19434,8,5,169,135,15,1,6388
556,15461,3,71,3835,86,12,1,6388
557,10103,0,1,0,87,6,1,6388
558,50716,11,64,6352,342,19,0,6388
559,12707,6,13,1087,79,12,0,6388
560,28462,6,59,7533,132,16,0,6388
561,27774,13,14,1581,199,28,0,6388
562,34333,30,126,10940,223,23,0,6388
563,3441,0,0,0,16,4,1,6388
564,53883,7,87,8485,342,27,0,6389
565,7095,1,9,0,92,10,1,6389
566,33137,11,70,5412,280,28,0,6389
567,26119,18,27,2909,223,34,0,6389
568,9504,0,23,0,89,4,1,6389
569,0,0,0,0,0,0,1,6389
570,2185,2,1,0,30,3,1,6389
571,3260,0,1,0,24,3,1,6389
572,10117,4,4,39,100,10,1,6389
573,44395,22,160,9043,248,20,0,6389
574,78697,14,99,13866,412,33,0,6389
575,49528,16,82,9256,361,34,0,6389
576,0,0,0,0,0,0,1,6389
577,6338,0,4,0,35,4,1,6389
578,37803,12,79,5350,326,20,0,6389
579,53344,15,27,5781,434,27,0,6389
580,33453,13,35,5537,162,27,0,6389
581,147967,136,33,3597,878,44,0,6389
582,29049,7,6,92,199,18,0,6389
583,73327,16,194,19887,494,27,0,6389
584,38253,6,27,4399,189,25,1,6389
585,0,0,0,0,0,0,1,6389
586,13241,10,15,747,126,17,1,6389
587,45462,29,100,10183,405,29,1,6389
588,38377,16,62,6037,223,18,0,6389
589,29967,12,20,5106,187,20,0,6389
590,20386,16,29,3951,176,23,0,6389
591,20460,8,61,7028,177,12,0,6389
592,59572,11,93,1830,586,31,0,6389
593,7577,2,3,20,84,14,1,6389
594,77028,16,163,13549,525,32,0,6389
595,18768,14,58,3529,139,19,1,6389
596,47291,12,31,7217,395,30,0,6389
597,24886,12,43,1624,150,13,0,6389
598,60821,14,242,20484,335,22,0,6389
599,306,0,0,0,5,1,1,6398
600,4951,1,2,0,43,10,0,6398
601,17503,8,40,3786,107,17,0,6398
602,326,0,0,0,12,1,1,6398
603,21073,4,16,3660,108,20,1,6398
604,15415,4,7,572,152,10,0,6398
605,56734,31,62,7728,447,30,0,6398
606,12715,8,13,2005,146,11,0,6398
607,20616,16,16,1885,176,21,0,6398
608,102543,18,32,5581,1005,43,1,6398
609,24348,2,45,9889,87,13,0,6398
610,36788,8,61,8402,290,35,0,6398
611,11037,6,6,1582,107,17,1,6398
612,39483,6,61,2046,302,23,0,6398
613,29678,17,109,8761,245,23,0,6398
614,0,0,0,0,0,0,1,6398
615,9409,5,16,1895,128,4,1,6398
616,23401,14,21,2335,154,14,0,6398
617,24002,9,48,6129,147,24,1,6398
618,17374,11,30,1167,135,15,0,6398
619,34351,20,102,11264,299,23,0,6398
620,83263,14,84,9311,602,42,0,6398
621,36632,11,48,5110,351,30,0,6398
622,18290,12,34,1245,165,22,0,6398
623,11932,5,1,28,86,17,1,6398
624,32860,10,33,4707,397,23,0,6398
625,0,0,0,0,0,0,1,6398
626,21564,6,30,797,113,20,0,6398
627,22278,9,30,2407,143,18,1,6398
628,3100,1,0,0,24,7,1,6398
629,72003,31,300,22770,491,31,0,6398
630,8041,1,2,0,53,7,1,6398
631,24812,14,21,1391,214,17,1,6398
632,2154,0,0,0,13,7,1,6398
633,6584,0,8,0,39,4,1,6398
634,61062,20,113,11961,369,36,0,6398
635,26582,15,25,1174,256,34,0,6398
636,76591,12,97,11491,486,32,0,6398
637,17789,0,2,0,117,12,1,6398
638,30539,12,37,2200,293,16,0,6398
639,38635,1,18,2949,290,21,0,6398
640,11764,5,34,3662,97,14,0,6398
641,0,0,0,0,0,0,1,6398
642,27990,7,34,2860,138,20,0,6398
643,4041,0,0,0,24,7,1,6398
644,31067,9,59,4233,284,22,0,6398
645,21484,9,40,3840,150,16,0,6398
646,34702,7,92,8824,167,18,0,6398
647,6134,0,3,0,59,8,1,6398
648,13378,7,8,105,95,14,0,6398
649,11456,8,23,3912,54,11,1,6398
650,32770,24,34,4546,267,22,0,6398
651,18635,1,15,1414,107,10,0,6398
652,63671,5,160,16589,493,30,0,6398
653,31203,14,145,3923,439,16,0,6398
654,39423,6,79,11713,270,19,0,6398
655,16398,8,18,1396,114,21,1,6398
656,25055,12,63,5546,180,18,0,6398
657,44011,11,145,13787,284,20,0,6398
658,3076,0,6,0,22,2,1,6398
659,3427,0,0,0,22,4,1,6398
660,15118,12,13,3250,147,13,0,6398
661,133873,47,285,16380,888,35,0,6398
662,31434,22,34,5833,206,25,0,6398
663,19176,14,88,2620,222,16,0,6398
664,58930,33,63,4250,447,31,0,6398
665,13171,1,11,3331,54,11,1,6398
666,49627,17,63,2385,530,26,0,6398
667,43914,38,77,5782,376,32,0,6398
668,35603,11,70,8472,190,26,0,6398
669,0,0,0,0,0,0,1,6398
